step,vehicle,speed,distance_to_intersection,decision
68,car3,0.0,23.992067339033696,WAIT
69,car0,0.0,35.24576682991362,WAIT
69,car1,0.0,30.882234211587765,WAIT
69,car2,0.0,20.561240390005157,PROCEED
69,car3,0.0,23.992067339033696,WAIT
70,car0,0.0,35.24576682991362,WAIT
70,car1,0.0,30.882234211587765,WAIT
70,car2,0.0,20.561240390005157,PROCEED
70,car3,0.0,23.992067339033696,WAIT
71,car0,0.0,35.24576682991362,WAIT
71,car1,0.0,30.882234211587765,WAIT
71,car2,0.0,20.561240390005157,PROCEED
71,car3,0.0,23.992067339033696,WAIT
72,car0,0.0,35.24576682991362,WAIT
72,car1,0.0,30.882234211587765,WAIT
72,car2,0.0,20.561240390005157,PROCEED
72,car3,0.0,23.992067339033696,WAIT
73,car0,0.0,35.24576682991362,WAIT
73,car1,0.0,30.882234211587765,WAIT
73,car2,0.0,20.561240390005157,PROCEED
73,car3,0.0,23.992067339033696,WAIT
74,car0,0.0,35.24576682991362,WAIT
74,car1,0.0,30.882234211587765,WAIT
74,car2,0.0,20.561240390005157,PROCEED
74,car3,0.0,23.992067339033696,WAIT
75,car0,0.0,35.24576682991362,WAIT
75,car1,0.0,30.882234211587765,WAIT
75,car2,0.0,20.561240390005157,PROCEED
75,car3,0.0,23.992067339033696,WAIT
76,car0,0.0,35.24576682991362,WAIT
76,car1,0.0,30.882234211587765,WAIT
76,car2,0.0,20.561240390005157,PROCEED
76,car3,0.0,23.992067339033696,WAIT
77,car0,0.0,35.24576682991362,WAIT
77,car1,0.0,30.882234211587765,WAIT
77,car2,0.0,20.561240390005157,PROCEED
77,car3,0.0,23.992067339033696,WAIT
78,car0,0.0,35.24576682991362,WAIT
78,car1,0.0,30.882234211587765,WAIT
78,car2,0.0,20.561240390005157,PROCEED
78,car3,0.0,23.992067339033696,WAIT
79,car0,0.0,35.24576682991362,WAIT
79,car1,0.0,30.882234211587765,WAIT
79,car2,0.0,20.561240390005157,PROCEED
79,car3,0.0,23.992067339033696,WAIT
80,car0,0.0,35.24576682991362,WAIT
80,car1,0.0,30.882234211587765,WAIT
80,car2,0.0,20.561240390005157,PROCEED
80,car3,0.0,23.992067339033696,WAIT
81,car0,0.0,35.24576682991362,WAIT
81,car1,0.0,30.882234211587765,WAIT
81,car2,0.0,20.561240390005157,PROCEED
81,car3,0.0,23.992067339033696,WAIT
82,car0,0.0,35.24576682991362,WAIT
82,car1,0.0,30.882234211587765,WAIT
82,car2,0.0,20.561240390005157,PROCEED
82,car3,0.0,23.992067339033696,WAIT
83,car0,0.0,35.24576682991362,WAIT
83,car1,0.0,30.882234211587765,WAIT
83,car2,0.0,20.561240390005157,PROCEED
83,car3,0.0,23.992067339033696,WAIT
84,car0,0.0,35.24576682991362,WAIT
84,car1,0.0,30.882234211587765,WAIT
84,car2,0.0,20.561240390005157,PROCEED
84,car3,0.0,23.992067339033696,WAIT
85,car0,0.0,35.24576682991362,WAIT
85,car1,0.0,30.882234211587765,WAIT
85,car2,0.0,20.561240390005157,PROCEED
85,car3,0.0,23.992067339033696,WAIT
86,car0,0.0,35.24576682991362,WAIT
86,car1,0.0,30.882234211587765,WAIT
86,car2,0.0,20.561240390005157,PROCEED
86,car3,0.0,23.992067339033696,WAIT
87,car0,0.0,35.24576682991362,WAIT
87,car1,0.0,30.882234211587765,WAIT
87,car2,0.0,20.561240390005157,PROCEED
87,car3,0.0,23.992067339033696,WAIT
88,car0,0.0,35.24576682991362,WAIT
88,car1,0.0,30.882234211587765,WAIT
88,car2,0.0,20.561240390005157,PROCEED
88,car3,0.0,23.992067339033696,WAIT
89,car0,0.0,35.24576682991362,WAIT
89,car1,0.0,30.882234211587765,WAIT
89,car2,0.0,20.561240390005157,PROCEED
89,car3,0.0,23.992067339033696,WAIT
90,car0,0.0,35.24576682991362,WAIT
90,car1,0.0,30.882234211587765,WAIT
90,car2,2.6,18.427449154912594,PROCEED
90,car3,0.0,23.992067339033696,WAIT
91,car0,0.0,35.24576682991362,WAIT
91,car1,0.0,30.882234211587765,WAIT
91,car2,5.2,14.620316337096893,PROCEED
91,car3,0.0,23.992067339033696,WAIT
92,car0,0.0,35.24576682991362,WAIT
92,car1,0.0,30.882234211587765,WAIT
92,car2,7.800000000000001,11.255006675903491,PROCEED
92,car3,0.0,23.992067339033696,WAIT
93,car0,0.0,35.24576682991362,WAIT
93,car1,0.0,30.882234211587765,WAIT
93,car2,10.4,14.153173070801131,PROCEED
93,car3,0.0,23.992067339033696,WAIT
94,car0,0.0,35.24576682991362,WAIT
94,car1,0.0,30.882234211587765,WAIT
94,car2,13.0,24.425913856633088,WAIT
94,car3,0.0,23.992067339033696,PROCEED
95,car0,0.0,35.24576682991362,WAIT
95,car1,0.0,30.882234211587765,WAIT
95,car2,8.5,32.21670263263357,WAIT
95,car3,2.6,21.72680200185003,PROCEED
96,car0,0.0,35.24576682991362,WAIT
96,car1,0.0,30.882234211587765,WAIT
96,car2,4.0,35.99419456403629,WAIT
96,car3,5.2,17.490297530232446,PROCEED
97,car0,0.0,35.24576682991362,WAIT
97,car1,0.0,30.882234211587765,WAIT
97,car2,0.0,35.99419456403629,WAIT
97,car3,7.800000000000001,12.577855553964515,PROCEED
98,car0,0.0,35.24576682991362,WAIT
98,car1,0.0,30.882234211587765,WAIT
98,car2,0.0,35.99419456403629,WAIT
98,car3,10.4,12.251751980376977,PROCEED
99,car0,0.0,35.24576682991362,WAIT
99,car1,0.0,30.882234211587765,WAIT
99,car2,0.0,35.99419456403629,WAIT
99,car3,13.0,21.062159574924944,PROCEED
100,car0,0.0,35.24576682991362,WAIT
100,car1,0.0,30.882234211587765,PROCEED
100,car2,0.0,35.99419456403629,WAIT
100,car3,13.89,33.6466980620546,WAIT
101,car0,0.0,35.24576682991362,WAIT
101,car1,2.6,28.37891983131552,PROCEED
101,car2,0.0,35.99419456403629,WAIT
101,car3,9.39,42.61577917454193,WAIT
102,car0,0.0,35.24576682991362,WAIT
102,car1,5.2,23.435550657873623,PROCEED
102,car2,0.0,35.99419456403629,WAIT
102,car3,4.890000000000001,47.35114877351784,FREE
103,car0,0.0,35.24576682991362,WAIT
103,car1,4.108090999999992,19.62423205524667,PROCEED
103,car2,0.0,35.99419456403629,WAIT
103,car3,7.49,54.65701293911414,FREE
104,car0,0.0,35.24576682991362,WAIT
104,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
104,car2,0.0,35.99419456403629,WAIT
104,car3,10.09,64.565520419011,FREE
105,car0,0.0,35.24576682991362,WAIT
105,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
105,car2,0.0,35.99419456403629,WAIT
105,car3,12.69,77.09388084247335,FREE
106,car0,0.0,35.24576682991362,WAIT
106,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
106,car2,0.0,35.99419456403629,WAIT
106,car3,13.89,90.85812921960445,FREE
107,car0,0.0,35.24576682991362,WAIT
107,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
107,car2,0.0,35.99419456403629,WAIT
107,car3,13.89,104.65536655896864,FREE
108,car0,0.0,35.24576682991362,WAIT
108,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
108,car2,0.0,35.99419456403629,WAIT
108,car3,13.89,118.47406794852091,FREE
109,car0,0.0,35.24576682991362,WAIT
109,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
109,car2,0.0,35.99419456403629,WAIT
109,car3,13.89,132.3075081970872,FREE
110,car0,0.0,35.24576682991362,WAIT
110,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
110,car2,0.0,35.99419456403629,WAIT
110,car3,13.89,146.1515022048926,FREE
111,car0,0.0,35.24576682991362,WAIT
111,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
111,car2,0.0,35.99419456403629,WAIT
112,car0,0.0,35.24576682991362,WAIT
112,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
112,car2,0.0,35.99419456403629,WAIT
113,car0,0.0,35.24576682991362,WAIT
113,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
113,car2,0.0,35.99419456403629,WAIT
114,car0,0.0,35.24576682991362,WAIT
114,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
114,car2,0.0,35.99419456403629,WAIT
115,car0,0.0,35.24576682991362,WAIT
115,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
115,car2,0.0,35.99419456403629,WAIT
116,car0,0.0,35.24576682991362,WAIT
116,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
116,car2,0.0,35.99419456403629,WAIT
117,car0,0.0,35.24576682991362,WAIT
117,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
117,car2,0.0,35.99419456403629,WAIT
118,car0,0.0,35.24576682991362,WAIT
118,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
118,car2,0.0,35.99419456403629,WAIT
119,car0,0.0,35.24576682991362,WAIT
119,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
119,car2,0.0,35.99419456403629,WAIT
120,car0,0.0,35.24576682991362,WAIT
120,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
120,car2,0.0,35.99419456403629,WAIT
121,car0,0.0,35.24576682991362,WAIT
121,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
121,car2,0.0,35.99419456403629,WAIT
122,car0,0.0,35.24576682991362,WAIT
122,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
122,car2,0.0,35.99419456403629,WAIT
123,car0,0.0,35.24576682991362,WAIT
123,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
123,car2,0.0,35.99419456403629,WAIT
124,car0,0.0,35.24576682991362,WAIT
124,car1,4.7748263676261615e-15,19.62423205524667,PROCEED
124,car2,0.0,35.99419456403629,WAIT
