step,vehicle,speed,distance_to_intersection,time_to_intersection,raw_decision,final_decision,conflict
100,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
100,car1,0.0,30.882234211587765,inf,PROCEED,PROCEED,False
100,car2,0.0,35.99419456403629,inf,WAIT,WAIT,False
100,car3,13.89,33.6466980620546,2.4223684709902518,WAIT,WAIT,False
101,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
101,car1,2.6,28.37891983131552,10.914969165890584,PROCEED,PROCEED,False
101,car2,0.0,35.99419456403629,inf,WAIT,WAIT,False
101,car3,9.39,42.61577917454193,4.538421637331409,WAIT,WAIT,False
102,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
102,car1,5.2,23.435550657873623,4.506836664975697,PROCEED,PROCEED,False
102,car2,0.0,35.99419456403629,inf,WAIT,WAIT,False
102,car3,4.890000000000001,47.35114877351784,9.683261507876859,FREE,FREE,False
103,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
103,car1,4.108090999999992,19.62423205524667,4.7769711175450364,PROCEED,PROCEED,False
103,car2,0.0,35.99419456403629,inf,WAIT,WAIT,False
103,car3,7.49,54.65701293911414,7.2973315005492845,FREE,FREE,True
